universe,base_state,period,n_high,n_low,base_distance_z,factor_distance_z,MKT_FWD_5D_high,MKT_FWD_5D_low,MKT_FWD_5D_diff,MKT_FWD_20D_high,MKT_FWD_20D_low,MKT_FWD_20D_diff,MKT_FWD_DD20_high,MKT_FWD_DD20_low,MKT_FWD_DD20_diff,MKT_FWD_VOL20_high,MKT_FWD_VOL20_low,MKT_FWD_VOL20_diff,NEXT_BASE_UP_high,NEXT_BASE_UP_low,NEXT_BASE_UP_diff,NEXT_BASE_DOWN_high,NEXT_BASE_DOWN_low,NEXT_BASE_DOWN_diff,NEXT_BASE_SAME_high,NEXT_BASE_SAME_low,NEXT_BASE_SAME_diff
K200,B2,TRAIN_2016_2022,24,73,1.2023560515825584,2.9287626263376763,0.0005422556623597207,-0.0018504094025441156,0.002392665064903836,0.0001425188683713708,0.005971146596544636,-0.005828627728173265,-0.03529787238607314,-0.03364186180825138,-0.001656010577821762,0.17137141142050094,0.1717794930594417,-0.000408081638940766,0.2916666666666667,0.1917808219178082,0.09988584474885848,0.0,0.0136986301369863,-0.0136986301369863,0.7083333333333334,0.7945205479452054,-0.08618721461187207
K200,B3,TRAIN_2016_2022,51,86,0.9017996520335944,2.7032659218058144,-7.001032990547421e-05,-0.0009171569222758662,0.0008471465923703919,0.004990106186969569,-0.0071242223383317545,0.012114328525301324,-0.02544450966035049,-0.03474499141629079,0.0093004817559403,0.13753147310892808,0.1392247589316335,-0.0016932858227054204,0.13725490196078433,0.23255813953488372,-0.09530323757409939,0.058823529411764705,0.18604651162790697,-0.12722298221614226,0.803921568627451,0.5813953488372093,0.22252621979024167
K200,B3,NORMAL_2023_2024,16,29,0.8803624819849036,2.490568848830853,0.002040946502162313,0.001114067850841162,0.0009268786513211512,-0.0015302339305760916,0.012473318684282371,-0.014003552614858462,-0.03921625586429066,-0.02311228404324268,-0.016103971821047978,0.1863770196043995,0.15518838799751633,0.031188631606883177,0.375,0.20689655172413793,0.16810344827586207,0.0625,0.13793103448275862,-0.07543103448275862,0.5625,0.6551724137931034,-0.09267241379310343
K200,B3,STRONG_2025,10,8,1.9960654907382664,3.2614215887819404,0.012938489724979218,0.009060273376838375,0.003878216348140843,0.03231449077278424,0.07074602281063125,-0.03843153203784701,-0.037244201611089225,-0.035675223053206716,-0.0015689785578825097,0.22843020517354526,0.2126147755200605,0.01581542965348476,0.4,0.25,0.15000000000000002,0.0,0.125,-0.125,0.6,0.625,-0.025000000000000022
K200,B4,TRAIN_2016_2022,26,68,0.8769469928148867,2.7157828706672817,0.004796491744632995,0.0033091376864317163,0.0014873540582012786,0.0030969066460011497,0.00892852201063446,-0.00583161536463331,-0.03051963500926741,-0.022798661519280967,-0.007720973489986443,0.18243455116691243,0.1372814528748123,0.045153098292100124,0.0,0.0,0.0,0.2692307692307692,0.3382352941176471,-0.06900452488687786,0.7307692307692307,0.6617647058823529,0.0690045248868778
K200,B4,NORMAL_2023_2024,10,15,0.35754907246986944,2.6006111769184588,-0.00110836630728374,-0.002791793050449133,0.001683426743165393,0.0036706494758942305,-0.019157806867950482,0.022828456343844714,-0.03474827494251559,-0.037917908161151655,0.0031696332186360657,0.16854246778240808,0.15023458675479662,0.018307881027611467,0.0,0.0,0.0,0.5,0.5333333333333333,-0.033333333333333326,0.5,0.4666666666666667,0.033333333333333326
KOSDAQ,B3,TRAIN_2016_2022,68,77,0.9694014309159047,2.5893023525989936,0.0014652096997235366,-0.004260679578208433,0.00572588927793197,-0.004356437647625122,-0.00399730293907216,-0.0003591347085529625,-0.044656312137477616,-0.04995501934772687,0.005298707210249255,0.19392302025038657,0.19685183908734483,-0.0029288188369582524,0.25,0.14285714285714285,0.10714285714285715,0.07352941176470588,0.12987012987012986,-0.05634071810542397,0.6764705882352942,0.7272727272727273,-0.050802139037433136
KOSDAQ,B3,NORMAL_2023_2024,20,31,1.1042917962922074,2.601248500244985,0.0024678158407145,0.0007884248604397255,0.0016793909802747748,0.011774301344931872,-0.00666562280469596,0.018439924149627834,-0.03167787504748977,-0.05544455338881272,0.02376667834132295,0.17402129131708252,0.2445034139026142,-0.07048212258553169,0.2,0.12903225806451613,0.07096774193548389,0.0,0.0967741935483871,-0.0967741935483871,0.8,0.7741935483870968,0.02580645161290329
KOSDAQ,B3,STRONG_2025,16,9,0.7233742514057732,2.0695579427388195,0.008604078977964818,-0.003707031297289401,0.012311110275254219,0.02492516927392205,0.0162107694381666,0.008714399835755449,-0.025615989693410855,-0.05110646215775705,0.025490472464346194,0.1803927286005583,0.2525263392213277,-0.07213361062076942,0.3125,0.2222222222222222,0.09027777777777779,0.0,0.1111111111111111,-0.1111111111111111,0.6875,0.6666666666666666,0.02083333333333337
KOSDAQ,B4,TRAIN_2016_2022,48,63,0.3076665529341875,2.2190172469215996,0.00019293001105704562,0.0017145888904700327,-0.001521658879412987,-0.01804109208582915,0.007960093716423146,-0.026001185802252295,-0.05593217630577901,-0.032265152627773984,-0.02366702367800503,0.2204542338870863,0.1758009843918418,0.04465324949524449,0.0,0.0,0.0,0.3333333333333333,0.30158730158730157,0.031746031746031744,0.6666666666666666,0.6984126984126984,-0.031746031746031744
KOSDAQ,B4,NORMAL_2023_2024,10,12,1.4314961927127072,3.7369091454733554,-0.0066180016950943095,0.0011973015007841585,-0.007815303195878469,-0.02117393533550595,-0.00593970876229745,-0.015234226573208502,-0.05494340830286919,-0.03755424339501654,-0.017389164907852646,0.22067070584211104,0.19430621871418877,0.026364487127922276,0.0,0.0,0.0,0.3,0.4166666666666667,-0.1166666666666667,0.7,0.5833333333333334,0.11666666666666659
KOSDAQ,B4,STRONG_2025,11,9,1.2956368393322752,2.845669602635698,0.009834996665844266,0.002072048319609233,0.007762948346235032,0.04269841897696069,0.02411670094066281,0.01858171803629788,-0.012244981081825384,-0.03300833746161506,0.020763356379789676,0.20918002437878844,0.20202220822746292,0.007157816151325519,0.0,0.0,0.0,0.2727272727272727,0.4444444444444444,-0.1717171717171717,0.7272727272727273,0.5555555555555556,0.1717171717171717
KOSDAQ_PLUS_KOSPI_EX_K200,B2,TRAIN_2016_2022,18,48,1.3416468079316164,2.8692812059095822,0.011317624730900533,-0.0032331239233637393,0.014550748654264272,0.03851979355086908,0.005556704882205493,0.03296308866866359,-0.011989241519147976,-0.053509417787902504,0.041520176268754524,0.1531178849499121,0.24826872955947477,-0.09515084460956266,0.2777777777777778,0.125,0.1527777777777778,0.0,0.020833333333333332,-0.020833333333333332,0.7222222222222222,0.8541666666666666,-0.13194444444444442
KOSDAQ_PLUS_KOSPI_EX_K200,B3,TRAIN_2016_2022,67,73,1.022125977586132,2.4323436441028803,-0.0031109076641146457,-0.004017290747047904,0.0009063830829332585,-0.015427900611393992,-0.00567709302625021,-0.009750807585143783,-0.05437597028016134,-0.04341880920523388,-0.01095716107492746,0.18440346850532296,0.17412254697316726,0.010280921532155707,0.29850746268656714,0.136986301369863,0.16152116131670413,0.05970149253731343,0.1095890410958904,-0.04988754855857697,0.6417910447761194,0.7534246575342466,-0.11163361275812722
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NORMAL_2023_2024,24,31,1.1426942909124196,2.9208681385950688,0.00739248337020143,-0.002689666798603978,0.010082150168805409,0.013506704289819961,-0.00510980030700801,0.01861650459682797,-0.027311033698759594,-0.049527096220288495,0.0222160625215289,0.1622897512602039,0.20407055403044222,-0.04178080277023832,0.25,0.0967741935483871,0.1532258064516129,0.0,0.12903225806451613,-0.12903225806451613,0.75,0.7741935483870968,-0.024193548387096753
