universe,cost_bps,period,n_rebalances,combined_cagr,combined_sharpe,combined_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,top2_cagr,top2_sharpe,top2_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_sharpe_vs_ew8,delta_cagr_vs_ew8,delta_mdd_vs_ew8,delta_sharpe_vs_persist,delta_cagr_vs_persist,combined_active_share,persist_active_share,combined_top2_share,combined_bottom2_share,combined_annual_turnover,ew8_annual_turnover
K200,0,DEV_2020_2022,38,0.06660878841733231,0.6460362440376374,-0.08741109222424848,0.053548671758540944,0.47797830729089286,-0.1771602441711464,0.032670774411281744,0.28377043965786075,-0.13180222196697777,0.06879329409688362,0.9271017088753126,-0.061322765464919105,-0.28106546483767525,-0.0021845056795513074,-0.026088326759329372,0.16805793674674452,0.013060116658791365,0.39473684210526316,0.7631578947368421,0.02631578947368421,0.3684210526315789,5.885526315789473,0.16578947368421051
KOSDAQ,0,DEV_2020_2022,38,0.07265427405530933,1.1575471099115489,-0.04771795600346196,0.07190919847223709,0.6250858244919854,-0.09650063006505116,0.08349194710304131,0.6152740599473255,-0.16194896393500946,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.4626829299928512,0.030687385365428144,0.05260237272728574,0.5324612854195635,0.0007450755830722411,0.21052631578947367,0.8157894736842105,0.0,0.21052631578947367,3.4815789473684213,0.16578947368421051
KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.06798177336334277,0.6391319100736828,-0.10512814109364288,0.11417215116878188,0.9704914120011073,-0.07664651255705768,0.09351506458952596,0.7299419985067269,-0.13554160378988944,0.060340987470224317,0.9131977683193486,-0.08721308188926824,-0.27406585824566587,0.007640785893118451,-0.01791505920437464,-0.3313595019274246,-0.04619037780543911,0.34210526315789475,0.7368421052631579,0.0,0.34210526315789475,5.139473684210526,0.16578947368421051
KOSPI_ALL,0,DEV_2020_2022,38,0.06556555385697282,0.9953947439099745,-0.05814531183469296,0.06863959528560493,0.809250037448678,-0.08739405986491733,0.04618925709060262,0.39406706339106023,-0.1576972702241317,0.06784398735064134,1.0980679005285914,-0.04072532130981743,-0.10267315661861687,-0.002278433493668519,-0.017419990524875528,0.18614470646129655,-0.0030740414286321016,0.23684210526315788,0.5526315789473685,0.07894736842105263,0.15789473684210525,3.6473684210526316,0.16578947368421051
KOSPI_EX_K200,0,DEV_2020_2022,31,-0.02085114190777826,-0.06278099621893812,-0.1229268085224745,0.05367433873405658,0.3990122937992549,-0.1229268085224745,0.16033114286904793,0.9773542447977174,-0.1502623011395613,0.08418644663110508,0.9894260487380767,-0.06475484058299585,-1.052207044957015,-0.10503758853888334,-0.05817196793947865,-0.461793290018193,-0.07452548064183484,0.3225806451612903,0.6774193548387096,0.12903225806451613,0.1935483870967742,4.775806451612903,0.2032258064516129
KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.06056982251168064,0.6881576522936386,-0.06733800429253534,0.02537169351652624,0.2848197311058508,-0.11113239271573383,0.022858651921169537,0.22014881101303815,-0.21264806282555215,0.07539231049923023,1.231490309029853,-0.0308142093400241,-0.5433326567362144,-0.014822487987549593,-0.036523794952511235,0.4033379211877878,0.0351981289951544,0.2894736842105263,0.6578947368421053,0.02631578947368421,0.2631578947368421,4.807894736842106,0.16578947368421051
K200,0,CONFIRM_2023_2024,24,0.14051587106093888,1.5434623019722127,-0.045708197566362796,0.22543745695742157,1.4075589716310777,-0.044675506951512345,0.09689955473524803,0.6897617652054854,-0.10711412614167382,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.058949063115243394,0.032390344295722295,-0.013908945517556615,0.135903330341135,-0.08492158589648269,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.25,5.38125,0.0
KOSDAQ,0,CONFIRM_2023_2024,24,0.26249764644807216,1.4944939632285728,-0.048342406036052,0.24602991170212274,1.4262450566298162,-0.04847920390838156,0.04440735746819824,0.30240744461305163,-0.14939917588656715,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.953693058371726,0.22420104891614834,0.018226512745774026,0.0682489065987566,0.016467734745949425,0.3333333333333333,0.7083333333333334,0.08333333333333333,0.25,5.25,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.17016304840314467,1.6402497100390736,-0.03812451069871692,0.14909711858374886,1.1910531990800297,-0.06995301257926545,0.0525242265289505,0.3309777027451042,-0.2136566862423641,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.8882914266392846,0.12294491459154888,0.035647585002882454,0.4491965109590439,0.021065929819395812,0.375,0.7916666666666666,0.08333333333333333,0.2916666666666667,5.5125,0.0
KOSPI_ALL,0,CONFIRM_2023_2024,24,0.10680522450780994,1.281422349756297,-0.04750445803867642,0.13453466883101028,1.2892971079293531,-0.0497990068039873,0.17608548338274388,1.0309319266032486,-0.09116905875511094,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.028670608457411317,0.02162696086214666,-0.0011558238164444123,-0.007874758173056051,-0.027729444323200347,0.2916666666666667,0.625,0.125,0.16666666666666666,4.725,0.0
KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.023963800173508076,0.2714055266121554,-0.08807455619788529,0.02408500877538433,0.2573832284035971,-0.10317875764302264,0.07968925517936953,0.5836453263890231,-0.09371326742570829,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.21988752690212376,-0.017537770846017375,-0.011746988923245882,0.01402229820855827,-0.00012120860187625482,0.24,0.56,0.12,0.12,3.528,0.0
KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.16089518297035887,2.048195027449818,-0.03341940838017332,0.07392825906656597,0.8312471360306483,-0.05059685757203647,0.10313645130640103,0.5894283115312887,-0.15149119459434768,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.7119375618963875,0.07503227959980197,0.02150461244360713,1.2169478914191698,0.0869669239037929,0.3333333333333333,0.7916666666666666,0.041666666666666664,0.2916666666666667,5.7749999999999995,0.0
K200,0,BULL_2025,12,0.30937593103803684,1.8164561562780308,-0.06198041966511103,0.26654076102043556,1.5739102804172895,-0.06198041966511114,-0.0037649395725156687,0.09821458775468897,-0.18812263661914563,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.1751956680105191,0.06508731351390562,0.0,0.24254587586074128,0.04283517001760129,0.25,0.5,0.0,0.25,4.725,0.0
KOSDAQ,0,BULL_2025,12,0.007253405200939422,0.11789497707088063,-0.07111164926066682,0.0030458343197410365,0.07720064928001945,-0.06260759656202719,0.034691462586339705,0.2946934680482536,-0.08627223515022087,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-1.1392356607720582,-0.11232950666443275,-0.02907130393064683,0.040694327790861184,0.004207570881198386,0.4166666666666667,0.6666666666666666,0.0,0.4166666666666667,4.725,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,-0.03993249625763595,-0.34126950021549934,-0.09595014147697656,0.01627248618951005,0.18916994847269403,-0.09470907425682995,0.1997184974581323,1.8106164059199106,-0.021258898256490966,0.12347214370878823,1.476147799073752,-0.024328852993387606,-1.8174172992892512,-0.16340463996642418,-0.07162128848358895,-0.5304394486881934,-0.056204982447146,0.3333333333333333,0.75,0.0,0.3333333333333333,4.199999999999999,0.0
